head	relation	tail
india	timesinceally	usa
cuba	commonbloc2	china
usa	releconomicaid	egypt
netherlands	timesinceally	china
brazil	unweightedunvote	israel
india	relngo	netherlands
brazil	intergovorgs	indonesia
poland	intergovorgs3	uk
china	releconomicaid	indonesia
india	ngo	israel
china	timesinceally	uk
india	ngoorgs3	netherlands
israel	officialvisits	uk
israel	unweightedunvote	egypt
uk	intergovorgs	brazil
usa	negativecomm	indonesia
indonesia	relintergovorgs	usa
ussr	weightedunvote	usa
china	commonbloc2	poland
netherlands	tourism3	israel
jordan	negativebehavior	israel
uk	weightedunvote	india
ussr	booktranslations	uk
usa	tourism3	netherlands
uk	tourism	india
ussr	conferences	poland
ussr	negativebehavior	uk
egypt	reltreaties	indonesia
burma	officialvisits	india
china	economicaid	indonesia
ussr	relngo	israel
usa	intergovorgs	israel
usa	militaryalliance	india
uk	reltourism	israel
uk	exportbooks	burma
egypt	weightedunvote	uk
uk	militaryalliance	usa
uk	embassy	indonesia
israel	unweightedunvote	ussr
israel	intergovorgs	poland
india	relbooktranslations	usa
india	intergovorgs	poland
usa	militaryactions	china
usa	relexportbooks	brazil
egypt	independence	cuba
china	relintergovorgs	poland
ussr	unoffialacts	usa
burma	relexports	india
cuba	intergovorgs	usa
burma	timesincewar	uk
egypt	relintergovorgs	usa
indonesia	ngoorgs3	brazil
poland	negativecomm	usa
egypt	reldiplomacy	poland
poland	intergovorgs	ussr
cuba	weightedunvote	uk
indonesia	ngoorgs3	uk
jordan	commonbloc1	cuba
poland	timesinceally	cuba
jordan	relintergovorgs	israel
india	commonbloc1	ussr
egypt	reltreaties	cuba
israel	emigrants3	usa
uk	blockpositionindex	poland
egypt	timesinceally	india
china	reldiplomacy	ussr
usa	intergovorgs	cuba
cuba	reldiplomacy	indonesia
brazil	commonbloc1	burma
egypt	reltreaties	india
brazil	relexports	usa
cuba	commonbloc0	usa
india	ngo	egypt
ussr	conferences	cuba
burma	ngoorgs3	netherlands
poland	embassy	usa
india	officialvisits	burma
brazil	ngo	poland
burma	relexports	indonesia
brazil	intergovorgs	israel
poland	commonbloc1	india
india	relstudents	uk
israel	relintergovorgs	poland
netherlands	treaties	poland
poland	militaryalliance	ussr
netherlands	reltourism	uk
egypt	ngo	israel
poland	timesinceally	china
ussr	blockpositionindex	brazil
ussr	reltourism	poland
china	embassy	india
usa	intergovorgs	indonesia
netherlands	ngo	cuba
china	commonbloc0	usa
jordan	relintergovorgs	usa
usa	treaties	israel
indonesia	intergovorgs	netherlands
brazil	tourism	usa
netherlands	ngoorgs3	israel
uk	reltourism	jordan
usa	exportbooks	china
poland	relngo	ussr
china	independence	jordan
china	boycottembargo	ussr
egypt	relexports	ussr
egypt	independence	ussr
china	ngoorgs3	brazil
jordan	reldiplomacy	uk
ussr	nonviolentbehavior	usa
indonesia	intergovorgs3	india
ussr	intergovorgs	uk
egypt	reldiplomacy	cuba
usa	boycottembargo	ussr
usa	ngo	ussr
israel	accusation	jordan
china	relngo	egypt
israel	commonbloc2	burma
uk	relbooktranslations	ussr
egypt	reltreaties	usa
jordan	commonbloc1	china
uk	relexportbooks	china
china	eemigrants	usa
uk	ngoorgs3	poland
egypt	negativebehavior	uk
poland	treaties	netherlands
cuba	emigrants3	usa
usa	tourism	brazil
usa	commonbloc2	brazil
egypt	reltreaties	israel
netherlands	intergovorgs	ussr
israel	ngo	india
israel	timesinceally	uk
indonesia	relbooktranslations	uk
china	accusation	ussr
burma	commonbloc1	cuba
israel	relexports	usa
india	nonviolentbehavior	usa
china	independence	poland
indonesia	nonviolentbehavior	india
poland	intergovorgs	usa
israel	ngo	egypt
uk	relngo	netherlands
ussr	commonbloc1	india
egypt	reldiplomacy	china
israel	relintergovorgs	netherlands
india	timesinceally	uk
jordan	dependent	uk
uk	independence	china
uk	embassy	burma
cuba	relexports	china
